Unit,Product,BALANCE,Country,Time,Value
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-May,272
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Jun,421
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Jul,475
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Aug,480
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Sep,482
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Oct,530
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Nov,510
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,20-Dec,488
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Jan,494
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Feb,466
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Mar,474
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Apr,439
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-May,456
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Jun,484
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Jul,473
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Aug,471
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Sep,517
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Oct,504
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Nov,480
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,21-Dec,503
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Jan,483
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Feb,476
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Mar,508
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Apr,473
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-May,482
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Jun,531
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Jul,488
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Aug,503
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Sep,529
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Oct,516
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Nov,506
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,22-Dec,509
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Jan,507
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Feb,498
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,23-Mar,509
